SOURCE_ID,dist05,dist16,dist50,dist84,dist95,av05,av16,av50,av84,av95,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,fidelity,sh_photoflag,sh_outflag
137338764771167488,2.243495,2.5892684,3.4345002,4.3810577,5.6059446,0.11881649,0.20807539,0.32154328,0.39449197,0.49743792,0.7976394,0.8971481,0.9231523,5932.6,6004.4956,6228.904,4.0153036,4.241914,4.438413,0.9790039,GBPRPgrizy/JHKs,0000
137339688189079296,1.3200822,1.401818,1.4879307,1.8954761,1.9512544,0.28107938,0.35995317,0.47980452,0.62419575,0.7273433,0.87065566,0.9533175,1.0445131,5367.0737,5526.036,5668.4204,4.3255415,4.4544234,4.5242805,0.9995117,GBPRPgrizy/JHKsW1W2,0000
137341479190484608,0.90135735,0.9411072,0.9677575,0.9968721,1.0112649,0.35245612,0.42466006,0.49268472,0.6237092,0.6837317,0.8888963,0.9112086,0.9579995,5732.1333,5845.417,6002.224,4.4081783,4.426342,4.461373,1,GBPRPgzy/JHKsW1W2,0000
137349931686616576,1.2169449,1.2931738,1.3714811,1.4837282,1.7034479,0.14175528,0.33149967,0.40188938,0.5337931,0.6995734,0.7293524,0.74858236,0.80123794,5122.5376,5223.6206,5356.0996,4.5587196,4.6146283,4.6298594,1,GBPRPgrizy/JHKsW1W2,0000
137350374067753472,1.2973778,1.3511428,1.4693733,1.5435493,1.5501128,0.33349016,0.40315044,0.5620065,0.63294864,0.6661969,0.7,0.75762653,0.79111004,5061.7417,5234.93,5335.5146,4.580845,4.6073074,4.6228814,1,GBPRPgrizy/JHKsW1W2,0000
137352233788603904,1.0226339,1.0325925,1.0595737,1.1627384,1.2867954,0.36404,0.5420133,0.5635003,0.63098985,0.68650657,0.70662373,0.72804976,0.7991418,5022.3774,5042.978,5109.6367,4.580753,4.601781,4.6261806,1,GBPRPgrizy/JHKs,0000
137353363365007232,0.67147833,0.67496806,3.3801696,4.4318943,4.694469,0.60290486,0.62521464,0.67379236,0.70704794,0.8534117,0.7353986,1.0684128,1.3362153,4752.386,4776.732,4798.6826,3.2737243,3.4162087,4.627272,0.74072266,GBPRPgrizy/JHKsW1W2,1000
137353402019695744,0.5550415,0.5652944,0.5738491,0.58894193,0.5972476,0.3021092,0.41420668,0.45616657,0.58771837,0.65361315,0.81495035,0.846997,0.89596885,5309.47,5403.8286,5525.955,4.5351596,4.5739846,4.583384,1,GBPRPgzy/JHKsW1W2,0000
137353505099223296,0.669394,0.7067351,0.8113632,0.8236065,0.8236618,0.3267099,0.330875,0.5926597,0.5975193,0.5986055,0.6,0.64855,0.65,4013.4795,4206.283,4229.821,4.634923,4.6378937,4.686763,1,GBPRPgrizy/JHKsW1W2,0000
137354089214457344,3.1305394,3.6840923,4.6191363,6.314939,9.904509,0.1521262,0.3442258,0.43844,0.64358807,0.6553509,0.7183861,0.78063786,0.90202403,5894.3867,6155.676,6474.6206,4.20521,4.428647,4.551806,0.9980469,GBPRPgrizy/W1,0000
137354742049485312,0.7829647,0.80331594,0.80972844,0.8281101,0.8452432,0.24881083,0.5054644,0.60678136,0.7230734,0.7290208,1.0524393,1.22,1.265,5816.985,5850.5947,6056.019,3.862995,3.909,3.9495564,1,GBPRPJHKsW1W2,0000
137355772841564032,1.2567195,1.345552,1.4452398,1.6556872,1.6778954,0.561387,0.70578974,0.8334972,1.0068047,1.0542938,0.8617436,0.8894358,1.0236908,5510.9585,5708.0845,5891.0117,4.334115,4.468282,4.505319,1,GBPRPgrizy/JHKs,0000
137357319029786624,1.0812296,1.1057278,1.2151562,1.3236774,1.3498925,0.51307863,0.5492083,0.6843975,0.76426965,0.86804265,0.9000763,0.95879275,0.9938158,5285.0703,5419.707,5546.8193,4.4456058,4.5199947,4.5480275,1,GBPRPgrizy/JHKsW1W2,0000
137357834425859456,5.173215,5.6625366,6.071815,6.708991,10.9292965,0.31820863,0.3518091,0.5936157,0.6306618,0.74028045,0.80084205,0.8589464,1.2566239,4898.691,5088.2065,5165.8193,2.3749979,2.4055352,2.6074955,1,GBPRPgzy/JHKsW1W2,0000
137357903145337216,2.9902167,3.3380854,3.8220797,5.3778644,5.9853373,0.2583492,0.31158337,0.4113359,0.55746716,0.5826193,0.71624523,0.7962576,0.91674984,5895.8145,5951.906,6216.068,4.230775,4.4544144,4.5405626,0.99121094,GBPRPgrizy/,0000
137358143663504640,0.7728134,0.7798576,0.7992425,0.8643598,0.8758348,0.5742895,0.6444146,0.8159037,1.0619906,1.0689838,0.8315877,0.8702654,0.93823767,5512.6943,5733.646,6102.287,4.4150677,4.467552,4.515152,1,GBPRPgrzy/JHKsW1W2,0000
137358452901148800,2.392193,2.6828046,3.045967,4.067621,4.557761,0.3768636,0.46711218,0.5569948,0.7139598,0.8148242,0.8854183,1.013535,1.1294488,5818.377,5945.647,6177.5776,4.1309285,4.313776,4.4241276,0.99902344,GBPRPgrizy/JHKs,0000
138485516744115968,2.2554016,2.466186,2.7860446,3.3620188,3.963145,0.43482012,0.54871714,0.7827252,0.82865494,0.87323815,0.7040187,0.7724585,0.8908143,5498.81,5713.584,5745.284,4.493459,4.561255,4.6015706,0.9980469,GBPRPgrizy/W1W2,0000
138757925045155584,0.35059214,0.35170254,0.35677883,0.36043578,0.36346883,0.33794078,0.48132968,0.6753891,0.7819163,0.86274654,0.94545895,1.0132717,1.0956404,5783.4824,6002.033,6191.6665,4.370187,4.4042487,4.4438095,1,GBPRPJHKsW1W2,0000
138763250804593664,0.7336764,0.7488499,0.7632615,0.78079444,0.7900556,0.36369288,0.41036525,0.5592367,0.7345899,0.8752588,1.0918639,1.4241393,1.7266052,4664.653,4774.241,4904.52,2.399615,2.4986985,2.6070936,1,GBPRPJHKsW1W2,0000
138799981365127168,2.5578213,3.0118232,3.4322731,4.1832027,4.9083533,0.32126465,0.45830595,0.58369493,0.7718365,0.8557797,0.87396824,0.9521518,1.1300615,5788.0044,5926.14,6191.4434,4.193185,4.386336,4.4990644,0.99853516,GBPRPgrizy/JW1W2,0000
138802077309133312,0.37803945,0.38275543,0.39573222,0.40453437,0.40857434,0.36823708,0.5572965,0.69954675,0.74605876,0.84933513,0.899,0.90158576,0.978,4988.6426,5098.002,5154.604,4.403,4.41,4.440272,1,GBPRPgy/JHKsW1W2,0000
138824686016964864,1.7805243,1.830521,1.9064527,2.2688887,2.4043245,0.3631642,0.5392925,0.602778,0.98513615,1.0701534,0.7463401,0.7980742,0.84404016,5028.0884,5137.443,5547.2354,4.5360117,4.5932813,4.618308,0.9902344,GBPRPgrizy/JHKsW1W2,0000
138826988119620224,0.9144147,0.98136204,1.1048433,1.1421306,1.1827999,0.6856056,0.8400503,1.0599868,1.4081997,1.4199889,0.7461721,0.84805965,0.8968085,5002.399,5220.3374,5559.25,4.536716,4.5545297,4.6049595,1,GBPRPgrizy/JHKsW1W2,0000
138827671018106752,1.4697558,1.5157335,1.6985669,2.3144085,2.4006307,0.5721667,0.75828755,0.91197664,1.4201307,1.5191401,0.85,0.8984441,1.0135348,5050.354,5174.207,5771.6733,4.362444,4.5054936,4.5702252,0.9716797,GBPRPgrizy/JHKsW1W2,0000
138828465588117888,2.0181222,2.0723739,2.30667,3.2818244,3.358369,0.6829502,0.7097827,0.8937484,1.0922233,1.318307,0.94205284,1.2663753,1.4722213,5870.8984,6095.484,6392.12,3.8317041,4.06813,4.1605144,0.9975586,GBPRPgrizy/JHKsW1W2,0000
138830870770035840,1.5711088,1.645188,1.8721102,2.030741,2.092762,0.8223528,1.0258994,1.1642698,1.232299,1.366909,1.2835709,1.3850734,1.4558765,6333.21,6554.109,6719.647,4.0871415,4.1430683,4.244026,1,GBPRPgrizy/JHKsW1W2,0000
138832348238782208,1.8437128,2.0632138,2.805351,3.1180727,3.2964213,0.9643785,1.0858651,1.263603,1.3914881,1.5029254,0.94627565,1.016941,1.12666,5546.5264,5805.739,5930.913,4.2223644,4.3257236,4.4800363,0.98779297,GBPRPgrizy/JHKs,0000
138833271655541632,3.2367415,3.656201,4.8052616,6.1905007,6.8636036,0.44406164,0.5349377,0.7663877,0.9087448,1.1210706,0.7916247,0.8986532,1.1524694,5986.055,6235.1953,6487.9155,4.252699,4.422246,4.5210323,0.99365234,GBPRPgrizy/W1,0000
138833821411390848,2.0300727,2.146057,2.5823698,2.8420594,3.5925415,0.9944355,1.0999111,1.2653089,1.433458,1.5648295,0.78914386,0.9130678,0.97796047,5398.337,5615.8345,5712.6855,4.475715,4.505459,4.5796056,0.98535156,GBPRPgrizy/JW1W2,0000
138834611685395968,1.7239187,1.9368454,2.108146,2.5981295,3.040005,0.8662848,0.9037161,1.1013006,1.3673425,1.5112104,0.8653987,0.9357546,1.0957267,5542.44,5754.6055,6138.957,4.316473,4.4365745,4.475794,0.99902344,GBPRPgrizy/JHKsW1W2,0000
138834993938836352,2.9764745,3.045652,3.6340578,6.31603,8.42374,0.74252605,0.75231713,0.78164774,0.8998629,1.0396374,0.8967743,0.995,1.155,4912.0176,4967.195,5071.1514,3.0576622,3.5091531,3.7158642,1,GBPRPgrizy/JHKsW1W2,0000
138835097017850240,0.78009737,0.78554976,0.8624949,0.86932665,0.87149113,1.0197575,1.1371206,1.1971687,1.3724804,1.4017444,0.744,0.80968386,0.81371945,5334.641,5379.0894,5547.8833,4.515207,4.5189714,4.561,1,GBPRPgrizy/JHKsW1W2,0000
138836402687898240,1.3365926,1.3557055,1.5972143,1.6311984,1.8001287,0.57581514,0.6557991,0.7823324,0.8485271,1.0302376,1.0377727,1.1137055,1.1901028,5730.207,5843.266,5962.2725,4.296457,4.303871,4.407278,1,GBPRPgrizy/JHKsW1W2,0000
138839082747454848,1.2522762,1.2885277,1.4036092,1.4918679,1.5794474,0.47456515,0.5417047,0.6365531,0.7632852,0.7687834,0.5888869,0.64076364,0.68545026,4580.913,4662.3804,4742.411,4.6492243,4.672,4.7075596,0.87646484,GBPRPgrizy/JHKsW1W2,0000
138839318970051072,2.3592575,2.527894,3.281759,3.8818386,4.1330333,0.33470932,0.35335243,0.55799896,0.6005589,0.6939305,0.8250831,0.8730624,1.0061834,5848.0264,6138.806,6183.158,4.248746,4.3191094,4.537646,0.9897461,GBPRPgrizy/JHKsW1W2,0000
138841109972001408,0.8351811,0.8564315,0.8902677,0.9337123,0.94848055,0.5495797,0.60778445,0.7120219,0.7778193,0.94130564,0.79821783,0.8,0.81241834,4714.182,4825.0913,4878.2744,4.5715103,4.605355,4.618539,1,GBPRPgrizy/JHKsW1W2,0001
